test_question,train_question_1,train_question_2,train_question_3,score_1,score_2,score_3
페인트 하도재 없이 페인트를 바로 칠할 경우 어떤 문제가 발생할 수 있나요?,아세톤에 노출되면 발생할 수 있는 문제가 뭐야?,누수가 발생할 경우 곰팡이가 발생할 수 있어?,페인트 하도재가 뭐야?,[[0.32941806]],[[0.30204108]],[[0.22544595]]
바닥재가 남으면 어떻게 처리하는 게 좋을까요? 그리고 장판이 남을 때 어떻게 처리해야 하나요?,바닥재가 남을 경우 어떻게 처리하는 게 좋을까요?,장판이 남으면 어떻게 처리해?,바닥재가 남으면 어떻게 처리해?,[[0.70781525]],[[0.5153885]],[[0.49679228]]
도배지에 생긴 반점을 없애기 위해 가장 효과적인 방법은 무엇인가요?,습도로 인해 도배지에 생기는 얼룩을 제거하는 데에 가장 효과적인 방법은 무엇인가요?,실크벽지의 얼룩을 지우는 가장 효과적인 방법은 무엇인가요?,목재 마감재를 처리하는데 가장 효과적인 방법은 무엇인가요?,[[0.49561887]],[[0.48273996]],[[0.4612945]]
새집증후군의 주요 원인은 무엇인가요?,새집증후군의 원인이 뭐야?,분말 소화기를 사용할 때 주의할 점이 뭐야?,마감재의 하자여부는 어떻게 판단해?,[[0.46648224]],[[0.]],[[0.]]
"방청도료 도장 작업을 위해 필요한 단계는 무엇인가요? 또한, 콘크리트 벽에 구멍을 뚫는 방법에는 어떤 도구나 기술을 사용해야 하나요?",콘크리트 벽에 구멍을 뚫기 위해 사용할 수 있는 최선의 방법은 무엇인가요?,콘크리트 벽에 구멍을 뚫으려면 어떻게 해야 해?,벽에 구멍을 막는 방법은?,[[0.34423445]],[[0.32737299]],[[0.26579407]]
어떤 종류의 실내 식물을 선택해야 식물을 효과적으로 가꾸는 데 도움이 될까요? 그리고 인테리어에 가장 많이 사용되는 도배재료는 무엇인가요?,실내 식물을 효과적으로 가꾸려면 어떤 종류의 식물을 선택해야 하나요?,벽지와 도료 중 어떤 것을 선택해야 하나요?,도배와 페인트 시공 중 뭐가 더 비용이 많이 들어?,[[0.65204917]],[[0.12607397]],[[0.1135001]]
원목마루와 롱브릭타일에 대해 설명해주세요. 각각의 단점과 특징은 무엇인가요?,수성페인트의 특징은 무엇인가요?,유성페인트의 주요 특징은 무엇인가요?,차음이 무엇인지 자세히 설명해주세요.,[[0.46161992]],[[0.39722819]],[[0.39228122]]
침실을 더 아늑하게 꾸밀 수 있는 방법에는 어떤 것이 있을까요와 아이가 있는 집을 꾸밀 때 안전을 위해 고려해야 할 요소는 무엇인가요의 관계는 무엇인가요?,어떻게 침실을 아늑하게 꾸밀 수 있을까요?,풍수지리를 활용하여 집을 꾸밀 때 주의해야 할 점이 무엇인가요?,아이가 있는 집은 두꺼운 장판과 마루 중 어느 것이 좋아?,[[0.49626382]],[[0.31437514]],[[0.23822908]]
인테리어에서 컬러매치를 위한 효과적인 팁이 있을까요? 그리고 복도나 협소한 공간을 확장시키기 위해 가장 효과적인 방법이 무엇일까요?,에폭시 계열 페인트를 사용하는 가장 효과적인 방법이 무엇일까요?,어떻게 복도나 협소한 공간을 확장하게 만들 수 있을까요?,새집증후군을 예방하는 방법이 뭐야?,[[0.43378776]],[[0.38908406]],[[0.0982585]]
"그라스울 보온판의 주요 장점 중 하나인 흡음 성능은 어떻게 발휘될까요?""",그라스울 보온판에 대해 설명해줘,폴리에스테르 흡음 단열재에 대해 설명해줘,콘크리트는 어떻게 처리해?,[[0.30191623]],[[0.25587963]],[[0.07874677]]
"미네랄울 보온판은 왜 고속 회전원심공법으로 제조되는 건가요?""","미네랄울 보온판은 어떤 소재로 만들어지며, 보온판으로서의 성능이 어떻게 되나요?",미네랄울 보온판에 대해 설명해줘,모노벽돌이 뭐야?,[[0.45571546]],[[0.39128191]],[[0.]]
"도배 후 필름 시공은 어떤 경우에 추천하시나요? 또한, 낡은 목재 가구의 흠집을 숨기는 방법을 알려주세요.",낡은 목재 가구의 흠집을 숨기는 가장 효과적인 방법은 무엇인가요?,낡은 목재 가구의 흠집을 어떻게 숨기나요?,도배 시공은 어디에 맡겨?,[[0.59663716]],[[0.52797117]],[[0.27169075]]
"입구나 복도의 표면에 사용하기 적합한 페인트 종류는 무엇이며, 이 공간을 환영스럽게 꾸미는 데 있어 어떤 인테리어 요소가 중요한가요?",우레탄 계열 페인트를 사용하기 적합한 곳은 어디인가요?,인테리어 조명 종류는 뭐가 있어?,벽지 종류는 뭐가 있어?,[[0.24431594]],[[0.24261306]],[[0.19106021]]
도배지가 먼지나 연기로 인해 얼마나 빨리 오염될 수 있나요? 그리고 습도가 높을 때 곰팡이가 어떻게 발생하는지 자세히 알고 싶습니다.,습도가 높을 때 곰팡이가 발생하는 이유가 무엇인가요?,써모사이딩의 단점에 대해 좀 더 자세히 알고 싶습니다.,습도가 높을 경우 도배지 꼬임이 발생할 수 있어?,[[0.4354689]],[[0.31035566]],[[0.30273173]]
"방청페인트를 시공하는 방법에는 어떤 단계가 포함되나요? 또한, 배관공사 시 통기구를 설치해야 하는 이유가 무엇인가요?",배관공사 시 통기구를 설치해야 하는 이유가 뭐야?,배관공사 시 기울기를 주의해야 하는 이유가 뭐야?,석고보드를 사용하는 이유가 뭐야?,[[0.71606402]],[[0.3780668]],[[0.16080297]]
"유성발수제를 사용하는 것의 실제 효과는 무엇인가요? 또한, 규산질계 침투성 도포 방수공사는 어떤 방식으로 이루어지나요?",규산질계 침투성 도포 방수공사는 무엇을 의미하나요?,규산질계 침투성 도포 방수공사가 뭐야?,석고보드를 사용하는 이유가 뭐야?,[[0.59557162]],[[0.52019682]],[[0.09083447]]
"높은 습도로 인해 몰딩수정이 발생하는 경우가 있을까요? 또한, 내부와 외부 온도의 큰 차이로 인해 곰팡이 발생이 빨라지나요?",높은 습도로 인해 몰딩수정이 발생할 수 있어?,높은 습도로 인해 도배지와 몰딩면에 틈새가 생길 수 있어?,도배지에 핀 곰팡이 제거 방법은?,[[0.53855966]],[[0.30072724]],[[0.16267871]]
인테리어 소품을 선택할 때 어떤 요소에 주의해야 할까요와 주방을 활기차게 꾸미기 위해 어떤 요소를 추가할 수 있을까요의 관계는 무엇인가요?,인테리어 소품을 선택할 때 주의해야 할 점은 어떤 게 있을까요?,주방을 활기차게 꾸미려면 어떤 요소를 추가해야 할까요?,인테리어에서 바닥재를 선택할 때 주의해야 할 점은 무엇인가요?,[[0.51622285]],[[0.47587876]],[[0.25756736]]
"초배지만 남은 벽에 페인트를 칠하면 어떤 문제가 발생하나요? 또한, 속건형 유성 발수제의 사용 목적과 효과에 대해 알려주세요.",속건형 유성 발수제의 장점이 뭐야?,왜 초배지만 남은 벽에는 페인트를 못 칠해?,남은 도배풀은 어디에 버려?,[[0.4471646]],[[0.36835659]],[[0.12474681]]
"벽지에 반점이 생겼을 때, 왜 1년 이내인 경우에만 벽지 아세톤 용제 함침 방법을 사용하고 개선 벽지로 재시공해야 하나요?",반점이 생긴지 1년 이내인 하자는 보수작업은 어떻게 해?,벽지 종류는 뭐가 있어?,탄화목사이딩의 단점이 뭐야?,[[0.43145281]],[[0.20377273]],[[0.]]
석구조란 무엇인가요? 그리고 기둥-보 구조 방식은 무엇을 의미하나요?,기둥-보 구조 방식은 무엇인가요?,기둥-보 구조 방식이 뭐야?,중목구조 방식이 뭐야?,[[0.8384481]],[[0.56609778]],[[0.]]
원목마루의 어떤 단점이 있는지 알려주세요. 그리고 도배지가 남으면 어떻게 처리해야 하나요?,도배지가 남으면 어떻게 처리해?,원목마루의 단점이 뭐야?,철골구조의 단점이 뭐야?,[[0.49176975]],[[0.47165299]],[[0.13921287]]
마감재의 하자를 판단하는 데 어떤 방법을 사용해야 할까요? 그리고 새집증후군을 예방하는 데 가장 효과적인 방법은 무엇인가요?,새집증후군을 예방하는 방법이 뭐야?,목구조는 어떤 방식이 있어?,철골구조는 어떤 방식이 있어?,[[0.43357628]],[[0.0301863]],[[0.0301863]]
강마루 바닥재의 장점은 무엇인가요?,바닥재의 종류는 뭐가 있어?,장판의 장점이 뭐야?,방부목이 단점이 뭐야?,[[0.51533702]],[[0.]],[[0.]]
새집증후군을 예방하기 위해 창문을 열어 환기하는 이유는 무엇인가요?,새집증후군을 예방하기 위해 사용할 수 있는 실용적인 방법이 있을까요?,새집증후군을 예방하는 방법이 뭐야?,소화기 종류는 뭐가 있어?,[[0.51435218]],[[0.2839764]],[[0.]]
"도배풀을 제거하는 데 어떤 도구가 가장 효과적인가요? 또한, 옥상 방수용 탄성 에멀전 페인트를 사용하는 장점은 무엇인가요?",옥상 방수용 탄성 에멀전 페인트를 사용하는 이유는 무엇인가요?,옥상 방수용 탄성 에멀전 페인트의 장점이 뭐야?,옥상 방수용 탄성 에멀젼 페인트가 뭐야?,[[0.69701999]],[[0.55134526]],[[0.40117146]]
통나무구조 방식의 건물에서 침하 현상을 최소화하기 위해 어떤 디테일을 고려해야 하나요?,통나무구조 방식이 뭐야?,목구조는 어떤 방식이 있어?,철골구조는 어떤 방식이 있어?,[[0.47756667]],[[0.0523244]],[[0.0523244]]
MSDS(Material Safety Data Sheet)가 필요한 이유는 무엇인가요?,MSDS(Material Safety Data Sheet)는 어떤 정보를 포함하고 있나요?,소화기를 설치하는데 필요한 기준은 무엇인가요?,도배작업 시 필요한 공구 좀 알려줘,[[0.72920189]],[[0.15483]],[[0.12916909]]
인테리어 디자인에서 에나멜 계열 페인트를 사용하여 공간의 색상을 선택할 때 고려해야 할 요소들은 무엇인가요?,에나멜 계열 페인트를 어떤 곳에 사용하는 것이 좋을까요?,에나멜 계열 페인트는 어디에 사용해?,에폭시 계열 페인트는 어디에 사용해?,[[0.39611492]],[[0.31446603]],[[0.13492055]]
라돈을 측정하는 데 가장 적합한 지점은 어디인가요? 그리고 MSDS(Material Safety Data Sheet)는 무엇을 포함하고 있나요?,MSDS(Material Safety Data Sheet)는 어떤 정보를 포함하고 있나요?,라돈을 제외한 공동주택의 실내공기질 측정지점이 어떻게 돼?,새집증후군이 뭐야?,[[0.7300479]],[[0.14347543]],[[0.]]
새집증후군을 해결하기 위한 방법에는 어떤 것들이 있나요? 그리고 소화기 종류에는 어떤 것들이 있는지 알려주세요.,발수제의 종류에는 어떤 것들이 있나요?,다공질 흡음재의 종류에는 어떤 것들이 있는지 알 수 있을까요?,단열재의 다양한 종류에는 어떤 것들이 있을까요?,[[0.481603]],[[0.43102772]],[[0.36613704]]
질석벽지가 아트월이나 현관 입구에서 많이 사용되는 이유는 무엇인가요?,질석벽지가 뭐야?,도배와 페인트 시공 중 뭐가 더 비용이 많이 들어?,직물벽지가 뭐야?,[[0.5456133]],[[0.19840478]],[[0.]]
"석고보드를 이동하면 도배지 꼬임이 발생할 가능성이 있나요? 또한, 건조시간이 충분하지 않으면 도배지가 꼬일 수 있는 이유가 무엇인가요?",건조시간이 부족하면 도배지 꼬임이 발생할 수 있어?,석고보드를 사용하는 이유가 뭐야?,도배지가 남으면 어떻게 처리해?,[[0.51615832]],[[0.423372]],[[0.15459817]]
"폴리에스테르 흡음 단열재의 장점 중 하나인 ""배수기능""은 어떤 종류의 공간에 사용하기에 적합한가요?",폴리에스테르 흡음 단열재에 대해 설명해줘,개별 공간과 오픈 플랜 공간 중 어떤 것이 나에게 더 적합한가요?,목구조는 어떤 방식이 있어?,[[0.38114408]],[[0.12817786]],[[0.03048534]]
도배 후 제조사 권장 건조시간을 지키지 않으면 어떤 문제가 발생할 수 있나요?,아세톤에 노출되면 발생할 수 있는 문제가 뭐야?,누수가 발생할 경우 곰팡이가 발생할 수 있어?,습도가 높으면 곰팡이가 발생할 수 있어?,[[0.4702105]],[[0.2847252]],[[0.15898438]]
내단열 방식에서 발생하는 열교 문제와 곰팡이 발생의 원인은 무엇인가요?,발코니에 결로가 발생하는 원인은 뭐야?,곰팡이 색깔은?,도배지에 핀 곰팡이 제거 방법은?,[[0.40764244]],[[0.36009221]],[[0.29478094]]
도배지가 찢어진 경우 터짐 하자가 발생하는 원인과 그에 따른 책임소재는 무엇인가요? 그리고 이를 해결하기 위해 어떤 방법을 사용할 수 있나요?,도배지가 찢어진 경우 어떻게 복원할 수 있나요?,불량 도배지를 사용할 경우 도배지가 찢어질 수 있어?,성분에 따른 페인트 종류 좀 알려줘,[[0.41543131]],[[0.24356442]],[[0.1832868]]
건물의 면진장치는 지진 발생 시 어떻게 작동하나요?,콘크리트는 어떻게 처리해?,도배지가 남으면 어떻게 처리해?,건축물의 구조는 어떻게 구분해?,[[0.3313432]],[[0.30640779]],[[0.278804]]
"페인트 상도재의 역할과 사용 방법에 대해 알려주세요. 또한, 강화마루의 장점은 무엇입니까?",페인트 상도재의 역할과 사용 방법에 대해서 알려주세요.,강화마루의 장점이 뭐야?,페인트 상도재가 뭐야?,[[0.74840925]],[[0.28710555]],[[0.18080538]]
경질우레탄폼 보온판은 왜 경제적인 선택인가요?,경질우레탄폼 보온판은 무엇이고 어떻게 사용되는지 자세히 알려주세요.,경질우레탄폼 보온판에 대해 설명해줘,그라스울의 장점이 뭐야?,[[0.49622]],[[0.35250621]],[[0.]]
"상도작업은 어떻게 이뤄지나요? 또한, 공간을 넓게 보이도록 인테리어를 꾸미는 방법은 뭐가 있을까요?",어떻게 하면 공간을 넓게 보이도록 인테리어를 꾸밀 수 있을까요?,상도작업은 어떻게 작업해?,벽지 종류는 뭐가 있어?,[[0.63402243]],[[0.35115752]],[[0.13161913]]
도배지가 울음 현상을 보일 때 그 원인과 대처 방법은 무엇인가요?,도배지가 찢어졌어,도배지가 남으면 어떻게 처리해?,개별 공간과 오픈 플랜 공간 중 어떤 것이 나에게 더 적합한가요?,[[0.30971956]],[[0.26060211]],[[0.]]
사무실 실내공기 측정을 위한 적절한 위치는 어디일까요? 그리고 아파트 도배 평수를 어떻게 계산해야 하나요?,아파트 도배를 평수를 어떻게 계산해야 하나요?,아파트 도배평수는 어떻게 게산해?,건축물의 구조는 어떻게 구분해?,[[0.62463239]],[[0.23857483]],[[0.04740826]]
"도배지에 고습도로 인해 생기는 얼룩을 제거하는 방법이 있을까요? 또한, 구조적 결함 때문에 석고수정이 발생할 가능성이 있는가요?",구조적 결함으로 인해 석고수정이 발생할 가능성이 있는가요?,습도로 인해 도배지에 생기는 얼룩을 제거하는 데에 가장 효과적인 방법은 무엇인가요?,구조적 결함으로 인해 석고수정이 발생할 수 있어?,[[0.65250819]],[[0.47445464]],[[0.46993754]]
대리석 타일이 난방 절감에 어떤 역할을 하는 건가요?,난연재료는 어떤 역할을 하는 거죠?,세라믹 타일이 뭐야,폴리싱 타일이 뭐야?,[[0.42057453]],[[0.33503323]],[[0.32648806]]
외단열 시공 시 외부 환경 조건이 중요한 이유는 무엇인가요?,큐블럭을 사용하는 이유는 무엇인가요?,장판 시공 시간은 어떻게 돼?,도배와 페인트 시공 중 뭐가 더 비용이 많이 들어?,[[0.27660894]],[[0.26503194]],[[0.18606329]]
스탠드 조명을 선택할 때 어떤 조명이 적합한가요?,실내 조명을 선택할 때 어떤 종류의 조명이 가장 적합한가요?,실내 조명을 선택할 때 어떤 종류의 조명을 고려해야 하나요?,개별 공간과 오픈 플랜 공간 중 어떤 것이 나에게 더 적합한가요?,[[0.81173331]],[[0.49997005]],[[0.20398716]]
실크벽지의 얼룩을 지워내는 가장 효과적인 방법이 있을까요? 그리고 부적절한 설치로 인해 제품의 품질에 영향을 미칠 수 있을까요?,실크벽지의 얼룩을 지우는 가장 효과적인 방법은 무엇인가요?,잘못된 설치로 인해 면 불량이 발생할 수 있어?,실크벽지의 장점이 뭐야?,[[0.45783298]],[[0.26957254]],[[0.25328113]]
차음재의 차음 성능은 어떻게 평가되나요?,차음재의 다양한 종류에는 어떤 것들이 있는지 알고 싶습니다.,콘크리트는 어떻게 처리해?,도배지가 남으면 어떻게 처리해?,[[0.44176019]],[[0.13669994]],[[0.12641251]]
공동주택의 실내 공기질을 측정하기 위한 적절한 지점은 어디일까요? 그리고 마감재의 하자를 판단하는 데 어떤 방법을 사용해야 할까요?,마감재의 하자를 어떻게 확인할 수 있을까요?,공동주택의 실내공기질을 측정하기 위한 지점 설정은 어떻게 하는 게 좋을까요?,공동주택의 실내 라돈의 측정지점은 어떻게 돼?,[[0.36973926]],[[0.32351704]],[[0.2588124]]
실크벽지의 얼룩을 제거하기 위한 다양한 방법 중에서 특히 효과적인 방법은 무엇인가요?,실크벽지의 얼룩을 지우는 가장 효과적인 방법은 무엇인가요?,실크벽지의 장점은 무엇인가요?,실크벽지의 장점이 뭐야?,[[0.58712414]],[[0.34700897]],[[0.2980848]]
페인트 처리 시 페인트의 양에 따라 어떤 절차를 따라야 하나요?,페인트의 종류는 어떤 성분에 따라 다르나요?,페인트의 종류 좀 알려줘,페인트 상도재가 뭐야?,[[0.36516923]],[[0.21308168]],[[0.19806016]]
"건설 산업은 어떤 종류의 작업을 포함하는지, 그리고 토목이 무엇인지 설명해줘.",토목이 뭐야?,목구조는 어떤 방식이 있어?,철골구조는 어떤 방식이 있어?,[[0.46197813]],[[0.03789806]],[[0.03789806]]
